# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
94-26-8	butylparaben	C038091	94-26-8	DCST1	149095	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DDIT3	1649	Homo sapiens	9606	29319206
94-26-8	butylparaben	C038091	94-26-8	DDIT4	54541	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DEDD1	58125	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DGAT2	84649	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DHCR24	1718	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DHDH.1	406433	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DHRS13A.2	447903	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DHRS13A.3	492783	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DIABLO	56616	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	DISP1	84976	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DKK3A	570418	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DLG1	1739	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	DLG4	1742	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	DLGAP3	58512	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	DMGDH	29958	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DNAH9L	552915	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DNMT3A	1788	Rattus norvegicus	10116	25607892|26888303
94-26-8	butylparaben	C038091	94-26-8	DNMT3B	1789	Rattus norvegicus	10116	26888303
94-26-8	butylparaben	C038091	94-26-8	DPP6	1804	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	DPYDB	405829	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DRD1B	568126	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DRD6B	100001636	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DUOX2	50506	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DUSP13A	568887	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DYSF	8291	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	DZIP1L	199221	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	E2F1	1869	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	E2F3	1871	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	EAF2	55840	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ECRG4A	791762	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	EFNA3B	117506	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	EFNA4	1945	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	EGF	1950	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	EHMT1B	402830	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ELP6	54859	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	EMILIN3A	570521	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	EMP1	2012	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ENAM	10117	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	EPAS1A	566886	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	EPB41L3B	407981	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	EPD	30199	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	EPDL1	100302470	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	EPDL2	557419	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ERBB2	2064	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	ERBB3	2065	Rattus norvegicus	10116	25607892
