# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
106-99-0	"1,3-butadiene"	C031763	106-99-0	CORO1A	11151	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CPN2	1370	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CPS1	1373	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CPXM1	56265	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CR2	1380	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CREB3L1	90993	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CREB3L3	84699	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CRTC1	23373	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CRTC2	200186	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CRY1	1407	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CRYL1	51084	Mus musculus	10090	21147608
106-99-0	"1,3-butadiene"	C031763	106-99-0	CRYM	1428	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CSF2RB2	12984	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CSTAD	78617	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CTLA2A	13024	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CTLA4	1493	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CTSW	1521	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CTXN1	404217	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CUBN	8029	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CX3CR1	1524	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CXCL12	6387	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CXCL9	4283	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CXCR5	643	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CXXC5	51523	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYFIP2	26999	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP1A1	1543	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP1A2	1544	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2B10	13088	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2C23	226143	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2C29	13095	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2C37	13096	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2C50	107141	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2C54	404195	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2C70	226105	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2D10	13101	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2D13	68444	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2D40	71754	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2D9	13105	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2E1	1571	Homo sapiens	9606	15470755
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2E1	1571	Mus musculus	10090	10828257
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP2J5	13109	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP3A11	13112	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP3A25	56388	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP4A12A	277753	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP4A12B	13118	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYP4F18	72054	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CYYR1	116159	Mus musculus	10090	29038090
