,GeneID,CTD
1109,71724,AOX3
1110,71872,AOX4
1111,55435,AP1AR
1112,162,AP1B1
1113,164,AP1G1
1114,8906,AP1G2
1115,8907,AP1M1
1116,10053,AP1M2
1117,1174,AP1S1
1118,8905,AP1S2
1119,130340,AP1S3
1120,160,AP2A1
1121,161,AP2A2
1122,163,AP2B1
1123,1173,AP2M1
1124,1175,AP2S1
1125,8546,AP3B1
1126,8120,AP3B2
1127,8943,AP3D1
1128,26985,AP3M1
1129,10947,AP3M2
1130,1176,AP3S1
1131,10239,AP3S2
1132,10717,AP4B1
1133,23431,AP4E1
1134,9179,AP4M1
1135,11154,AP4S1
1136,91056,AP5B1
1137,55745,AP5M1
1138,55317,AP5S1
1139,9907,AP5Z1
1140,317,APAF1
1141,320,APBA1
1142,321,APBA2
1143,9546,APBA3
1144,322,APBB1
1145,54518,APBB1IP
1146,323,APBB2
1147,10307,APBB3
1148,689199,APBH
1149,324,APC
1150,10297,APC2
1151,147495,APCDD1
1152,164284,APCDD1L
1153,325,APCS
1154,619476,APEG3
1155,327,APEH
1156,328,APEX1
1157,27301,APEX2
1158,289662,APEX2L1
1159,51107,APH1A
1160,83464,APH1B
1161,8539,API5
1162,51074,APIP
1163,200558,APLF
1164,8862,APLN
1165,187,APLNR
1166,333,APLP1
1167,334,APLP2
1168,57136,APMAP
1169,335,APOA1
1170,336,APOA2
1171,337,APOA4
1172,116519,APOA5
1173,338,APOB
1174,339,APOBEC1
1175,10930,APOBEC2
1176,80287,APOBEC3
1179,403314,APOBEC4
1180,55911,APOBR
1181,341,APOC1
1182,344,APOC2
1183,345,APOC3
1184,346,APOC4
1185,347,APOD
1186,348,APOE
1187,319,APOF
1188,350,APOH
1189,626615,APOL11A
1190,23780,APOL2
1191,80833,APOL3
1192,223672,APOL9A
1193,81575,APOLD1
1194,55937,APOM
1195,28194,APON
1196,79135,APOO
1197,139322,APOOL
1198,351,APP
1199,10513,APPBP2
1200,26060,APPL1
1201,55198,APPL2
1209,353,APRT
1211,100505854,APTR
1212,54840,APTX
1213,358,AQP1
1214,282679,AQP11
1215,375318,AQP12A
1216,359,AQP2
1217,360,AQP3
1218,361,AQP4
1219,362,AQP5
1220,363,AQP6
1221,364,AQP7
1222,343,AQP8
1223,366,AQP9
1224,9716,AQR
1225,367,AR
1226,369,ARAF
1227,116985,ARAP1
1228,116984,ARAP2
1229,64411,ARAP3
1230,23237,ARC
1231,372,ARCN1
1232,374,AREG
1233,9870,AREL1
1234,375,ARF1
1235,11841,ARF2
1236,377,ARF3
1237,378,ARF4
1238,381,ARF5
1239,382,ARF6
1240,55738,ARFGAP1
1241,84364,ARFGAP2
1242,26286,ARFGAP3
1243,10565,ARFGEF1
1244,10564,ARFGEF2
1245,57221,ARFGEF3
1246,27236,ARFIP1
1247,23647,ARFIP2
1248,10139,ARFRP1
1249,383,ARG1
1250,384,ARG2
1251,55082,ARGLU1
1253,392,ARHGAP1
1254,79658,ARHGAP10
1255,9824,ARHGAP11A
1256,94134,ARHGAP12
1257,55843,ARHGAP15
1258,55114,ARHGAP17
1259,93663,ARHGAP18
1260,84986,ARHGAP19
1261,57569,ARHGAP20
1262,57584,ARHGAP21
1263,58504,ARHGAP22
1264,57636,ARHGAP23
1265,83478,ARHGAP24
1266,9938,ARHGAP25
1267,23092,ARHGAP26
1268,201176,ARHGAP27
1269,79822,ARHGAP28
1270,9411,ARHGAP29
1271,257106,ARHGAP30
1272,57514,ARHGAP31
1273,9743,ARHGAP32
1274,115703,ARHGAP33
1275,2909,ARHGAP35
1276,158763,ARHGAP36
1277,80728,ARHGAP39
1278,393,ARHGAP4
1279,343578,ARHGAP40
1280,143872,ARHGAP42
1281,9912,ARHGAP44
