,GeneID,Symbol
1105,100132733,ANKRD20A13P
1106,100533719,ANKRD20A14P
1107,100533720,ANKRD20A15P
1108,100421427,ANKRD20A16P
1109,100421363,ANKRD20A17P
1110,391269,ANKRD20A18P
1111,400110,ANKRD20A19P
1112,728788,ANKRD20A20P
1113,102723552,ANKRD20A21P
1114,441430,ANKRD20A2P
1115,441425,ANKRD20A3P
1116,110006327,ANKRD20A4-ANKRD20A20P
1117,728747,ANKRD20A4P
1118,440482,ANKRD20A5P
1119,728157,ANKRD20A6P
1120,653436,ANKRD20A7P
1121,729171,ANKRD20A8P
1122,284232,ANKRD20A9P
1123,118932,ANKRD22
1124,200539,ANKRD23
1125,170961,ANKRD24
1126,22852,ANKRD26
1127,124149,ANKRD26P1
1128,646929,ANKRD26P2
1129,100101938,ANKRD26P3
1130,100873882,ANKRD26P4
1131,84079,ANKRD27
1132,23243,ANKRD28
1133,147463,ANKRD29
1134,91074,ANKRD30A
1135,374860,ANKRD30B
1136,554226,ANKRD30BL
1137,642460,ANKRD30BP1
1138,149992,ANKRD30BP2
1139,338579,ANKRD30BP3
1140,256006,ANKRD31
1141,341405,ANKRD33
1142,651746,ANKRD33B
1143,100874247,ANKRD33B-AS1
1144,284615,ANKRD34A
1145,340120,ANKRD34B
1146,390616,ANKRD34C
1147,729911,ANKRD34C-AS1
1148,148741,ANKRD35
1149,375248,ANKRD36
1150,57730,ANKRD36B
1151,84832,ANKRD36BP1
1152,645784,ANKRD36BP2
1153,400986,ANKRD36C
1154,100132420,ANKRD36P1
1155,353322,ANKRD37
1156,51239,ANKRD39
1157,91369,ANKRD40
1158,55018,ANKRD40CL
1159,338699,ANKRD42
1160,91526,ANKRD44
1161,101927596,ANKRD44-AS1
1162,101927547,ANKRD44-IT1
1163,339416,ANKRD45
1164,157567,ANKRD46
1165,54851,ANKRD49
1166,100419814,ANKRD49P1
